province;red;green;blue;name;
138;18;163;208;x;
139;229;141;181;x;
140;242;73;221;x;
141;142;17;217;x;
142;85;49;167;x;
143;86;246;196;x;
144;244;154;162;x;
145;209;40;184;x;
146;108;243;231;x;
147;37;143;129;x;
148;22;77;227;x;
149;237;75;87;x;
150;222;60;176;x;
151;230;214;136;x;
152;11;127;173;x;
153;167;100;30;x;
154;50;191;241;x;
155;154;196;117;x;
156;51;80;243;x;
157;71;80;211;x;
158;149;126;113;x;
159;52;29;74;x;
160;117;69;34;x;
161;251;238;228;x;
162;20;142;96;x;
163;217;129;81;x;
164;146;34;136;x;
165;95;241;136;x;
166;84;109;157;x;
167;18;247;226;x;
168;4;232;88;x;
169;121;35;155;x;
170;65;130;143;x;
171;149;129;50;x;
172;31;133;162;x;
173;95;69;216;x;
174;135;233;67;x;
175;139;155;150;x;
176;174;249;132;x;
177;173;103;87;x;
178;98;253;43;x;
179;232;12;231;x;
180;72;95;107;x;
181;92;214;188;x;
182;210;9;236;x;
183;136;36;113;x;
184;95;131;58;x;
185;109;58;157;x;
186;17;167;121;x;
187;10;160;235;x;
188;226;68;21;x;
189;197;244;80;x;
190;165;128;246;x;
191;83;194;152;x;
192;242;48;27;x;
193;187;238;101;x;
194;231;21;104;x;
195;206;193;157;x;
196;128;142;48;x;
197;74;137;60;x;
198;133;237;13;x;
199;122;182;16;x;
200;10;80;233;x;
201;242;89;76;x;
202;175;235;178;x;
203;224;57;116;x;
204;129;165;179;x;
205;181;206;31;x;
206;105;164;29;x;
207;159;166;78;x;
208;63;130;92;x;
209;85;103;214;x;
210;252;248;110;x;
211;154;3;243;x;
212;97;89;208;x;
213;116;81;178;x;
214;133;108;207;x;
215;92;123;185;x;
216;251;5;244;x;
217;72;204;125;x;
218;16;177;150;x;
219;11;231;120;x;
220;37;87;49;x;
221;200;233;32;x;
222;204;228;109;x;
223;58;217;175;x;
224;156;190;130;x;
225;228;229;183;x;
226;49;242;237;x;
227;248;190;55;x;
228;123;180;152;x;
229;171;230;135;x;
230;214;22;53;x;
231;169;26;253;x;
232;18;196;162;x;
233;144;218;153;x;
234;72;201;88;x;
235;227;66;97;x;
236;85;128;249;x;
237;185;17;233;x;
238;249;2;76;x;
239;145;243;51;x;
240;152;25;89;x;
241;240;45;204;x;
242;215;126;74;x;
243;148;163;252;x;
244;152;5;251;x;
245;59;140;71;x;
246;98;47;206;x;
247;55;197;206;x;
248;71;105;198;x;
249;120;57;168;x;
250;200;8;154;x;
251;50;180;252;x;
252;86;136;150;x;
253;208;232;203;x;
254;125;180;127;x;
255;214;249;235;x;
256;139;191;20;x;
257;50;66;121;x;
258;11;184;46;x;
259;145;77;182;x;
260;106;6;66;x;
261;28;135;183;x;
262;43;32;55;x;
263;16;95;106;x;
264;109;152;31;x;
265;228;215;119;x;
266;11;252;140;x;
267;66;122;216;x;
268;234;81;241;x;
269;6;97;216;x;
270;242;25;59;x;
271;195;112;153;x;
272;85;134;24;x;
273;153;150;170;x;
274;85;64;232;x;
275;7;90;239;x;
276;93;78;61;x;
277;182;210;102;x;
278;54;82;57;x;
279;57;192;213;x;
280;47;193;87;x;
281;245;36;4;x;
282;167;136;168;x;
283;60;216;177;x;
284;41;244;71;x;
285;202;160;106;x;
286;229;37;156;x;
287;69;69;87;x;
288;172;73;232;x;
289;129;165;239;x;
290;51;94;237;x;
291;239;10;147;x;
292;207;10;177;x;
293;95;10;41;x;
294;82;160;157;x;
295;0;86;28;x;
296;156;78;181;x;
297;197;123;218;x;
298;170;69;167;x;
299;42;168;28;x;
300;100;66;47;x;
301;51;141;92;x;
302;31;141;178;x;
303;237;124;114;x;
304;203;11;252;x;
305;85;159;204;x;
306;42;169;0;x;
307;43;242;42;x;
308;67;224;114;x;
309;99;100;1;x;
310;157;45;186;x;
311;53;58;110;x;
312;21;110;111;x;
313;87;196;220;x;
314;181;140;250;x;
315;78;41;10;x;
316;249;0;176;x;
317;228;169;130;x;
318;6;133;187;x;
319;75;171;0;x;
320;216;159;128;x;
321;213;136;118;x;
322;59;85;251;x;
323;149;61;151;x;
324;250;171;193;x;
325;147;86;17;x;
326;245;241;104;x;
327;28;172;13;x;
328;149;73;128;x;
329;121;98;69;x;
330;177;42;166;x;
331;116;77;84;x;
332;0;5;59;x;
333;35;129;80;x;
334;67;77;154;x;
335;245;157;231;x;
336;53;93;235;x;
337;69;15;155;x;
338;183;68;186;x;
339;246;192;220;x;
340;155;209;216;x;
341;38;242;147;x;
342;192;242;102;x;
343;71;139;94;x;
344;114;80;163;x;
345;66;64;95;x;
346;144;157;178;x;
347;16;53;81;x;
348;227;196;174;x;
349;33;116;207;x;
350;255;35;211;x;
351;160;193;99;x;
352;119;82;110;x;
353;177;59;100;x;
354;88;178;105;x;
355;158;115;134;x;
356;7;185;39;x;
357;249;162;15;x;
358;148;177;7;x;
359;150;158;111;x;
360;251;114;242;x;
361;227;118;32;x;
362;46;222;166;x;
363;121;23;249;x;
364;90;210;76;x;
365;28;145;81;x;
366;117;145;182;x;
367;203;205;105;x;
368;171;131;215;x;
369;122;252;20;x;
370;158;88;77;x;
371;82;96;109;x;
372;128;112;59;x;
373;60;131;167;x;
374;37;98;113;x;
375;17;246;37;x;
376;193;229;160;x;
377;175;202;163;x;
378;211;120;189;x;
379;224;66;42;x;
380;110;57;197;x;
381;11;2;65;x;
382;129;127;225;x;
383;221;70;97;x;
384;99;225;250;x;
385;70;144;219;x;
386;106;174;69;x;
387;28;78;219;x;
388;31;58;92;x;
389;104;45;57;x;
390;123;238;55;x;
391;20;224;33;x;
392;106;139;52;x;
393;59;61;223;x;
394;107;119;4;x;
395;240;246;236;x;
396;197;10;60;x;
397;183;179;91;x;
398;222;34;169;x;
399;165;114;212;x;
400;133;154;136;x;
401;190;183;47;x;
402;214;168;242;x;
403;82;230;224;x;
404;230;132;131;x;
405;74;31;76;x;
406;219;88;182;x;
407;65;18;33;x;
408;11;11;60;x;
409;15;23;39;x;
410;187;234;17;x;
411;152;194;104;x;
412;223;169;249;x;
413;70;230;38;x;
414;195;124;217;x;
415;127;133;181;x;
416;93;202;176;x;
417;56;222;134;x;
418;111;73;251;x;
419;197;5;46;x;
420;12;252;129;x;
421;39;185;15;x;
422;177;35;216;x;
423;15;39;233;x;
424;4;163;9;x;
425;243;229;214;x;
426;132;175;255;x;
427;29;224;39;x;
428;92;250;245;x;
429;202;70;147;x;
430;249;12;65;x;
431;249;31;224;x;
432;157;217;23;x;
433;190;24;234;x;
434;49;50;183;x;
435;224;0;226;x;
436;241;235;185;x;
437;32;44;255;x;
438;146;28;226;x;
439;247;52;187;x;
440;71;211;254;x;
441;240;171;42;x;
442;103;231;247;x;
443;108;4;85;x;
444;150;188;247;x;
445;47;171;180;x;
446;32;129;4;x;
447;210;135;209;x;
448;241;5;44;x;
449;70;154;130;x;
450;194;239;91;x;
451;116;17;186;x;
452;124;152;57;x;
453;127;166;37;x;
454;248;59;195;x;
455;123;80;106;x;
456;89;133;230;x;
457;209;173;79;x;
458;26;211;104;x;
459;79;0;59;x;
460;46;247;248;x;
461;217;36;117;x;
462;75;5;0;x;
463;201;37;105;x;
464;230;224;121;x;
465;170;0;249;x;
466;113;226;187;x;
467;198;79;60;x;
468;91;170;229;x;
469;128;66;101;x;
470;160;77;100;x;
471;103;145;18;x;
472;96;28;49;x;
473;60;44;13;x;
474;174;58;155;x;
475;224;213;142;x;
476;187;252;212;x;
477;30;144;117;x;
478;247;89;173;x;
479;210;213;47;x;
480;129;81;61;x;
481;206;182;65;x;
482;87;234;17;x;
483;52;7;11;x;
484;191;107;170;x;
485;114;76;116;x;
486;144;152;6;x;
487;249;1;176;x;
488;15;206;180;x;
489;251;111;80;x;
490;146;255;62;x;
491;48;5;116;x;
492;39;168;146;x;
493;238;63;110;x;
494;20;108;172;x;
495;137;188;229;x;
496;139;73;80;x;
497;187;147;127;x;
498;220;26;9;x;
499;235;240;181;x;
500;192;81;116;x;
501;70;148;144;x;
502;196;110;38;x;
503;87;77;229;x;
504;219;233;44;x;
505;6;198;9;x;
506;56;195;156;x;
507;35;165;18;x;
508;123;109;84;x;
509;136;63;95;x;
510;2;124;47;x;
511;11;182;63;x;
512;151;226;33;x;
513;199;140;196;x;
514;170;205;93;x;
515;101;28;162;x;
516;185;128;253;x;
517;130;185;235;x;
518;198;235;133;x;
519;190;166;70;x;
520;38;16;144;x;
521;22;102;195;x;
522;196;236;113;x;
523;48;38;80;x;
524;163;38;146;x;
525;11;85;91;x;
526;85;130;48;x;
527;202;193;117;x;
528;55;22;126;x;
529;42;210;71;x;
530;1;167;228;x;
531;62;144;93;x;
532;195;196;71;x;
533;188;129;115;x;
534;116;85;40;x;
535;100;72;192;x;
536;220;203;62;x;
537;95;196;112;x;
538;151;39;134;x;
539;252;83;128;x;
540;13;57;173;x;
541;212;107;215;x;
542;133;171;30;x;
543;207;233;17;x;
544;86;27;6;x;
545;143;204;22;x;
546;51;166;189;x;
547;244;217;66;x;
548;200;104;153;x;
549;212;91;223;x;
550;139;184;62;x;
551;234;25;118;x;
552;176;55;42;x;
553;4;72;25;x;
554;83;86;105;x;
555;54;197;173;x;
556;91;138;23;x;
557;168;142;24;x;
558;254;236;49;x;
559;28;150;85;x;
560;114;97;113;x;
561;198;119;253;x;
562;174;200;19;x;
563;177;144;41;x;
564;174;117;203;x;
565;235;218;72;x;
566;5;112;49;x;
567;14;230;44;x;
568;68;12;140;x;
569;205;244;211;x;
570;222;94;39;x;
571;159;255;153;x;
572;49;59;86;x;
573;171;238;219;x;
574;239;196;49;x;
575;60;65;143;x;
576;160;85;190;x;
577;77;115;26;x;
578;9;71;8;x;
579;103;143;87;x;
580;192;189;180;x;
581;117;123;182;x;
582;72;25;25;x;
583;56;159;146;x;
584;83;145;230;x;
585;70;128;238;x;
586;163;47;73;x;
587;243;48;184;x;
588;99;237;65;x;
589;117;30;21;x;
590;28;140;207;x;
591;200;90;133;x;
592;92;170;34;x;
593;202;57;131;x;
594;215;192;73;x;
595;245;218;252;x;
596;165;155;241;x;
597;211;99;0;x;
598;37;173;206;x;
599;238;134;50;x;
600;188;189;202;x;
601;218;3;196;x;
602;70;48;241;x;
603;119;20;127;x;
604;7;68;183;x;
605;248;122;137;x;
606;241;145;216;x;
607;64;47;72;x;
608;81;79;208;x;
609;53;143;172;x;
610;226;124;120;x;
611;17;188;20;x;
612;62;70;225;x;
613;205;170;157;x;
614;238;48;41;x;
615;137;205;75;x;
616;100;238;13;x;
617;24;145;205;x;
618;118;65;165;x;
619;59;244;138;x;
620;36;136;68;x;
621;209;206;234;x;
622;20;213;240;x;
623;163;251;89;x;
624;82;243;99;x;
625;197;93;228;x;
626;201;97;77;x;
627;223;139;173;x;
628;142;208;21;x;
629;224;247;53;x;
630;60;240;127;x;
631;159;242;187;x;
632;236;57;34;x;
633;161;35;92;x;
634;83;190;114;x;
635;5;202;126;x;
636;156;243;206;x;
637;54;192;236;x;
638;82;61;42;x;
639;47;21;39;x;
640;85;83;12;x;
641;18;98;32;x;
642;51;35;221;x;
643;234;254;4;x;
644;40;97;62;x;
645;110;129;166;x;
646;248;224;172;x;
647;107;88;203;x;
648;147;44;248;x;
649;23;24;133;x;
650;249;246;153;x;
651;214;184;125;x;
652;2;14;91;x;
653;57;77;201;x;
654;103;207;51;x;
655;122;0;207;x;
656;10;178;136;x;
657;38;63;29;x;
658;88;83;27;x;
659;80;95;250;x;
660;52;152;207;x;
661;62;206;252;x;
662;120;29;82;x;
663;204;101;246;x;
664;151;1;90;x;
665;65;205;20;x;
666;175;76;248;x;
667;97;187;240;x;
668;227;179;65;x;
669;212;134;249;x;
670;232;62;116;x;
671;216;65;125;x;
672;176;112;157;x;
673;228;146;53;x;
674;196;45;116;x;
675;120;0;174;x;
676;133;155;59;x;
677;136;77;239;x;
678;176;162;50;x;
679;86;55;140;x;
680;45;19;199;x;
681;17;239;72;x;
682;56;121;192;x;
683;176;107;141;x;
684;55;23;149;x;
685;34;167;47;x;
686;19;74;211;x;
687;7;26;213;x;
688;101;222;157;x;
689;51;54;203;x;
690;195;197;85;x;
691;96;210;151;x;
692;146;240;192;x;
693;219;142;56;x;
694;111;2;201;x;
695;217;143;113;x;
696;255;3;49;x;
697;97;158;248;x;
698;13;3;147;x;
699;83;107;237;x;
700;229;62;107;x;
701;1;111;53;x;
702;235;195;118;x;
703;157;169;18;x;
704;100;35;24;x;
705;212;6;122;x;
706;142;89;54;x;
707;213;124;128;x;
708;36;3;115;x;
709;237;28;150;x;
710;108;6;207;x;
711;252;188;39;x;
712;166;86;162;x;
713;41;250;178;x;
714;102;93;3;x;
715;155;231;130;x;
716;15;215;86;x;
717;147;226;242;x;
718;67;144;105;x;
719;101;188;96;x;
720;27;79;199;x;
721;198;47;59;x;
722;233;1;243;x;
723;218;117;134;x;
724;135;194;80;x;
725;7;133;120;x;
726;48;236;94;x;
727;67;185;172;x;
728;243;182;141;x;
729;37;106;173;x;
730;2;236;189;x;
731;174;139;58;x;
732;140;177;228;x;
733;112;238;124;x;
734;163;155;68;x;
735;246;137;96;x;
736;192;166;145;x;
737;102;139;64;x;
738;73;38;114;x;
739;122;153;50;x;
740;73;123;56;x;
741;65;202;243;x;
742;224;231;73;x;
743;81;74;146;x;
744;200;81;197;x;
745;68;230;100;x;
746;151;20;84;x;
747;119;2;18;x;
748;148;95;181;x;
749;10;75;55;x;
750;234;61;115;x;
751;8;127;65;x;
752;90;130;126;x;
753;255;13;23;x;
754;251;250;201;x;
755;183;176;39;x;
756;116;37;45;x;
757;223;64;121;x;
758;108;245;132;x;
759;59;12;8;x;
760;127;254;31;x;
761;196;51;98;x;
762;151;133;201;x;
763;130;28;42;x;
764;72;248;55;x;
765;63;224;222;x;
766;99;255;39;x;
767;107;128;231;x;
768;113;250;61;x;
769;235;185;103;x;
770;127;174;179;x;
771;173;17;193;x;
772;3;134;92;x;
773;62;26;25;x;
774;43;199;237;x;
775;247;132;97;x;
776;74;25;236;x;
777;31;243;172;x;
778;176;108;114;x;
779;145;187;244;x;
780;82;174;50;x;
781;150;175;199;x;
782;78;215;137;x;
783;45;237;171;x;
784;69;198;190;x;
785;116;146;38;x;
786;182;15;58;x;
787;169;92;118;x;
788;92;204;150;x;
789;37;181;123;x;
790;156;236;146;x;
791;141;156;218;x;
792;52;178;253;x;
793;83;246;150;x;
794;103;0;254;x;
795;161;53;154;x;
796;193;26;172;x;
797;139;144;102;x;
798;75;34;231;x;
799;12;10;25;x;
800;204;211;149;x;
801;93;115;145;x;
802;182;233;218;x;
803;10;203;193;x;
804;130;25;120;x;
805;65;117;182;x;
806;115;159;142;x;
807;106;175;86;x;
808;203;204;218;x;
809;240;105;97;x;
810;251;231;190;x;
811;119;52;209;x;
812;12;133;172;x;
813;240;183;70;x;
814;149;17;44;x;
815;106;158;90;x;
816;117;193;3;x;
817;206;131;89;x;
818;34;121;158;x;
819;201;186;62;x;
820;121;167;132;x;
821;12;23;160;x;
822;152;199;95;x;
823;175;226;232;x;
824;94;7;238;x;
825;50;121;167;x;
826;100;102;12;x;
827;180;1;105;x;
828;139;226;114;x;
829;222;251;34;x;
830;236;152;182;x;
831;214;42;246;x;
832;70;45;44;x;
833;96;225;151;x;
834;133;216;157;x;
835;45;132;0;x;
836;7;118;106;x;
837;134;45;65;x;
838;163;207;239;x;
839;169;2;83;x;
840;128;92;106;x;
841;131;78;230;x;
842;49;111;51;x;
843;179;103;166;x;
844;19;163;129;x;
845;195;246;229;x;
846;94;110;32;x;
847;41;235;122;x;
848;20;23;122;x;
849;195;212;146;x;
850;207;143;141;x;
851;208;65;41;x;
852;124;134;169;x;
853;150;212;95;x;
854;176;167;166;x;
855;174;184;97;x;
856;50;46;250;x;
857;37;247;107;x;
858;211;111;84;x;
859;195;107;195;x;
860;27;160;250;x;
861;244;42;231;x;
862;214;73;77;x;
863;147;163;215;x;
864;208;111;0;x;
865;32;172;110;x;
866;54;82;6;x;
867;23;227;228;x;
868;193;14;50;x;
869;47;143;220;x;
870;208;167;36;x;
871;23;50;102;x;
872;231;183;137;x;
873;94;60;223;x;
874;28;40;126;x;
875;239;149;114;x;
876;118;32;19;x;
877;117;94;191;x;
878;112;66;62;x;
879;209;54;237;x;
880;88;179;108;x;
881;128;74;86;x;
882;255;30;199;x;
883;0;239;89;x;
884;37;225;129;x;
885;243;170;34;x;
886;255;66;233;x;
887;173;125;230;x;
888;10;193;229;x;
889;73;136;26;x;
890;121;30;48;x;
891;200;83;4;x;
892;42;140;171;x;
893;49;9;110;x;
894;95;128;97;x;
895;237;39;17;x;
896;126;250;80;x;
897;247;24;245;x;
898;132;85;64;x;
899;245;208;42;x;
900;250;29;235;x;
901;52;68;101;x;
902;92;131;205;x;
903;168;184;87;x;
904;215;4;148;x;
905;110;163;203;x;
906;155;132;240;x;
907;87;126;178;x;
908;30;220;230;x;
909;1;202;11;x;
910;6;208;227;x;
911;76;176;152;x;
912;102;115;244;x;
913;162;147;178;x;
914;11;157;192;x;
915;8;60;116;x;
916;156;190;35;x;
917;201;74;199;x;
918;145;233;202;x;
919;206;109;34;x;
920;129;218;197;x;
921;101;55;102;x;
922;166;183;65;x;
923;196;233;69;x;
924;154;75;71;x;
925;81;246;218;x;
926;98;160;243;x;
927;126;68;68;x;
928;112;0;112;x;
929;181;78;80;x;
930;5;126;45;x;
931;11;192;45;x;
932;102;19;39;x;
933;93;22;220;x;
934;56;186;37;x;
935;85;165;0;x;
936;208;135;205;x;
937;246;250;63;x;
938;16;31;105;x;
939;59;195;233;x;
940;251;197;99;x;
941;88;240;245;x;
942;216;157;192;x;
943;227;19;239;x;
944;162;126;9;x;
945;142;247;99;x;
946;51;179;72;x;
947;105;229;17;x;
948;169;51;94;x;
949;147;14;84;x;
950;23;222;199;x;
951;180;123;224;x;
952;13;138;145;x;
953;39;252;101;x;
954;115;18;207;x;
955;12;23;82;x;
956;144;161;10;x;
957;81;244;22;x;
958;76;107;221;x;
959;150;154;39;x;
960;222;27;15;x;
961;207;231;101;x;
962;34;141;87;x;
963;0;59;186;x;
964;251;147;168;x;
965;116;238;233;x;
966;157;147;2;x;
967;137;84;71;x;
968;151;10;172;x;
969;125;123;105;x;
970;131;226;36;x;
971;32;82;186;x;
972;161;17;167;x;
973;105;60;100;x;
974;230;32;58;x;
975;220;89;52;x;
976;187;211;206;x;
977;63;50;28;x;
978;216;246;240;x;
979;41;18;66;x;
980;175;243;111;x;
981;67;164;143;x;
982;97;150;231;x;
983;158;25;55;x;
984;118;237;69;x;
985;107;71;146;x;
986;209;81;161;x;
987;145;134;164;x;
988;17;74;200;x;
989;24;23;198;x;
990;237;38;23;x;
991;69;118;136;x;
992;198;219;204;x;
993;31;206;137;x;
994;114;193;36;x;
995;194;214;86;x;
996;31;146;138;x;
997;128;114;162;x;
998;249;240;66;x;
999;71;42;18;x;
1000;94;252;191;x;
1001;103;188;224;x;
1002;160;218;103;x;
1003;74;50;221;x;
1004;247;16;14;x;
1005;250;28;95;x;
1006;72;113;25;x;
1007;241;120;106;x;
1008;191;137;141;x;
1009;110;47;21;x;
1010;1;197;44;x;
1011;188;70;190;x;
1012;151;134;172;x;
1013;234;201;195;x;
1014;95;159;55;x;
1015;69;170;115;x;
1016;222;21;41;x;
1017;130;94;238;x;
1018;220;53;206;x;
1019;116;27;177;x;
1020;225;64;76;x;
1021;41;211;155;x;
1022;213;5;45;x;
1023;32;17;14;x;
1024;51;123;164;x;
1025;87;69;65;x;
1026;111;15;85;x;
1027;33;245;255;x;
1028;170;232;242;x;
1029;129;135;165;x;
1030;11;174;163;x;
1031;114;144;171;x;
1032;152;0;9;x;
1033;212;127;134;x;
1034;214;75;226;x;
1035;227;197;165;x;
1036;156;113;95;x;
1037;253;25;222;x;
1038;159;225;216;x;
1039;213;90;102;x;
1040;33;14;201;x;
1041;138;156;147;x;
1042;148;62;134;x;
1043;4;203;131;x;
1044;195;5;147;x;
1045;202;242;20;x;
1046;61;77;86;x;
1047;163;198;239;x;
1048;135;79;107;x;
1049;58;194;11;x;
1050;235;73;64;x;
1051;241;191;242;x;
1052;26;41;53;x;
1053;52;230;209;x;
1054;93;102;147;x;
1055;93;30;51;x;
1056;31;142;75;x;
1057;192;51;232;x;
1058;196;223;102;x;
1059;176;13;65;x;
1060;205;33;218;x;
1061;64;182;161;x;
1062;209;93;98;x;
1063;227;199;81;x;
1064;19;189;254;x;
1065;56;31;25;x;
1066;251;109;180;x;
1067;47;221;66;x;
1068;209;155;92;x;
1069;189;104;11;x;
1070;170;221;0;x;
1071;26;254;221;x;
1072;65;17;76;x;
1073;170;45;69;x;
1074;42;59;34;x;
1075;61;129;37;x;
1076;110;155;88;x;
1077;120;92;106;x;
1078;216;252;227;x;
1079;15;158;251;x;
1080;27;139;178;x;
1081;185;7;172;x;
1082;168;154;54;x;
1083;242;13;202;x;
1084;159;215;131;x;
1085;117;155;33;x;
1086;109;94;20;x;
1087;11;236;0;x;
1088;168;156;213;x;
1089;242;162;248;x;
1090;147;209;103;x;
1091;63;58;198;x;
1092;5;230;87;x;
1093;252;198;232;x;
1094;67;198;32;x;
1095;31;235;198;x;
1096;148;222;117;x;
1097;99;9;70;x;
1098;148;225;170;x;
1099;216;17;140;x;
1100;71;180;70;x;
1101;87;173;179;x;
1102;12;192;147;x;
1103;131;200;76;x;
1104;180;235;3;x;
1105;167;229;152;x;
1106;168;103;147;x;
1107;241;80;222;x;
1108;117;193;41;x;
1109;177;247;109;x;
1110;75;24;119;x;
1111;204;180;33;x;
1112;189;215;218;x;
1113;146;119;142;x;
1114;118;21;89;x;
1115;88;233;124;x;
1116;29;119;189;x;
1117;177;96;170;x;
1118;180;15;140;x;
1119;37;28;136;x;
1120;220;22;219;x;
1121;241;165;185;x;
1122;166;173;236;x;
1123;243;200;123;x;
1124;234;73;193;x;
1125;83;178;223;x;
1126;110;66;18;x;
1127;131;131;130;x;
1128;188;2;178;x;
1129;240;250;199;x;
1130;43;198;152;x;
1131;197;41;76;x;
1132;43;230;198;x;
1133;188;28;51;x;
1134;11;48;49;x;
1135;164;146;121;x;
1136;31;86;195;x;
1137;210;213;81;x;
1138;223;237;254;x;
1139;113;117;69;x;
1140;15;106;3;x;
1141;194;136;167;x;
1142;208;191;213;x;
1143;129;250;130;x;
1144;73;197;40;x;
1145;241;3;212;x;
1146;204;220;72;x;
1147;233;114;147;x;
1148;216;128;48;x;
1149;227;195;159;x;
1150;123;126;1;x;
1151;149;75;111;x;
1152;151;152;115;x;
1153;161;204;39;x;
1154;210;57;198;x;
1155;11;135;177;x;
1156;222;157;77;x;
1157;45;228;19;x;
1158;108;34;1;x;
1159;65;24;172;x;
1160;121;210;205;x;
1161;15;92;197;x;
1162;232;227;231;x;
1163;43;160;119;x;
1164;189;104;114;x;
1165;28;178;7;x;
1166;180;159;35;x;
1167;99;205;133;x;
1168;5;87;253;x;
1169;213;209;133;x;
1170;27;4;184;x;
1171;212;228;148;x;
1172;20;223;103;x;
1173;161;101;175;x;
1174;71;182;24;x;
1175;157;134;136;x;
1176;22;114;43;x;
1177;195;172;9;x;
1178;26;255;79;x;
1179;174;8;71;x;
1180;15;162;92;x;
1181;91;126;41;x;
1182;195;62;8;x;
1183;82;22;107;x;
1184;158;56;76;x;
1185;210;105;248;x;
1186;233;142;1;x;
1187;117;172;132;x;
1188;145;186;240;x;
1189;233;21;207;x;
1190;66;130;17;x;
1191;69;232;17;x;
1192;119;195;153;x;
1193;148;203;203;x;
1194;105;7;231;x;
1195;247;61;244;x;
1196;212;93;105;x;
1197;95;205;211;x;
1198;241;141;217;x;
1199;103;155;52;x;
1200;20;43;19;x;
1201;160;229;7;x;
1202;227;81;55;x;
1203;31;216;228;x;
1204;216;29;86;x;
1205;140;214;102;x;
1206;63;83;51;x;
1207;96;35;1;x;
1208;52;140;224;x;
1209;0;126;68;x;
1210;89;231;75;x;
1211;107;161;130;x;
1212;230;6;231;x;
1213;119;134;70;x;
1214;170;174;36;x;
1215;215;1;1;x;
1216;208;186;46;x;
1217;92;240;122;x;
1218;213;69;4;x;
1219;42;92;169;x;
1220;218;211;41;x;
1221;202;65;124;x;
1222;184;59;61;x;
1223;31;123;141;x;
1224;66;118;54;x;
1225;239;84;120;x;
1226;69;251;70;x;
1227;47;217;136;x;
1228;188;23;86;x;
1229;143;117;81;x;
1230;195;109;65;x;
1231;139;112;42;x;
1232;76;198;95;x;
1233;203;7;226;x;
1234;165;234;178;x;
1235;229;247;78;x;
1236;9;167;200;x;
1237;94;7;75;x;
1238;152;103;118;x;
1239;54;25;66;x;
1240;92;231;142;x;
1241;176;131;239;x;
1242;83;177;214;x;
1243;187;168;63;x;
1244;194;253;12;x;
1245;221;29;117;x;
1246;248;81;85;x;
1247;213;104;255;x;
